Sentiment Text,Sentiment
"With you get your ice cream directly from the store not from me, so you get to enjoy all of it. (I always get a bite as for them paying tax to me)",Neutral
"MyIdentityCoin project supported by experienced and highly qualified team, which in my opinion is able to bring the project to the highest level in the shortest possible time and I hope they succeed.",Neutral
"Sorry for bothering you. But I actually have a business proposal thatll be beneficial to both ends I mean real entrepreneurial investment,if youre interested kindly Dm for more info",Bullish
: Airdrop is LIVEParticipate in and receieve $300 worth of SG Token for joining and $3 per friend you,Neutral
Electric Cash airdrop is live on with $ELCASH tokens in rewards!Earn now by completing easy and quick social tasks:,Neutral
": Crypto Supply: As Numbers Go Up, Advantage Starts With Limited Supply - Juxtaposed against the unlimited supply",Neutral
": EMERGENCY: If you bank with or they will BAN your account for ANY transactions.Not only that,",Bearish
: New : Chainge Total reward: Up to CHNG + CHNG per referral Start the airdrop bot:,Neutral
": Hello, yes? Animal control services? I would like to report a bear.",Bearish
": CEXIO is a secure platform to buy, sell, earn, and exchange &amp; + more crypto Instant card deposits &amp; withdrawals",Neutral
is Will it,Neutral
of the day:Elon Musk declares Tesla can now be bought with exchange launches airdrop with million $REAP tokens in rewardsEarn now:,Neutral
: Kentucky Governor signs law giving miners tax incentives to come to the state,Bullish
: is undervalued &amp; you are early.,Bullish
: It's easy to get started on your very own Crypto casino with EthRoll!,Neutral
: Im giving $100 to one lucky follower that retweets this within the next hours. To enter:- Follow,Neutral
: Cant wait to find out who all the big buyers are at these price levels. probably already has,Bullish
: If get to $80k in April where will $vet be?Probably north of $0.25$0.09 now.Please dont say you werent warne,Neutral
"Sorry for bothering you. But I actually have a business proposal thatll be beneficial to both ends I mean real entrepreneurial investment,if youre interested kindly Dm for more info",Neutral
: The US government will never ban . These questions have been asked and answered by regulators and courts for the last de,Bullish
: Crypto dips are good because: Patience is learned Markets cool off Weak hands sell Opportunity arises,Bearish
: Check out my Cryptocurrency guides playlist on YouTube to get some great value for free!Guides:,Neutral
: Airdrop is LIVEParticipate in and receieve $300 worth of SG Token for joining and $3 per friend you,Neutral
: Buy to protect your wealth!!!,Bullish
": Nigerians now trade more using chat apps like Wechat and Telegram than they do on exchanges, over $100 million",Neutral
: New Listing will list - Trading pair: JULB/USDT- Trading time: :30 on Mar (UTC+8),Neutral
": When I wake up tomorrow better be above $56,000 and Cardano better be above $1.16.",Bullish
"MyIdentityCoin project supported by experienced and highly qualified team, which in my opinion is able to bring the project to the highest level in the shortest possible time and I hope they succeed.",Bullish
": Bill Gates a co-founder of Microsoft &amp; one of its largest individual shareholders, has publicly slammed multipl",Bearish
I play and get Cashback! The more you play on - the higher Rank and Cashback amount you will get! My Username: Jang45,Neutral
: $POODL comunity grow in weeks to telegram members . And over holders. What is comming next?,Neutral
Put more bluntly,Neutral
"Sorry for bothering you. But I actually have a business proposal thatll be beneficial to both ends I mean real entrepreneurial investment,if youre interested kindly Dm for more info",Neutral
: New Listing will list - Trading pair: JULD/USDT- Trading time: :30 on Mar (UTC+8) Mo,Neutral
Shop &amp;,Neutral
: Demand. What Really Matters for : Increasing Demand and Adoption - The potential launch of Bitcoin ETP,Bullish
: Check out my Cryptocurrency guides playlist on YouTube to get some great value for free!Guides:,Neutral
Become a member,Neutral
Check my for,Neutral
": monthly RSI is not even . In , and bull markets we had at least months above . Still early",Bullish
"$400K Bitcoin predicted this year, NFT warning, Instagram influencer in trouble: Hodlers Digest, March",Bullish
": EMERGENCY: If you bank with or they will BAN your account for ANY transactions.Not only that,",Neutral
"This project is very good, let's support this project to move up to the moon0x24B058dc980c281e43202584BE7DeFC97A285B39",Neutral
: Bloomberg still can't verify the total supply of dollars. Peter Schiff can't verify the total supply of gold. Every bitco,Neutral
We have a potential Bitcoin Bingo!!,Bullish
": ""Paper is poverty... it is only the ghost of money, and not money itself"" - Thomas Jefferson on",Bullish
Earn a share of million $REAP cryptocurrency in the Reapit airdrop on . Complete quick and easy social tasks to win,Neutral
$FLM - FLM/USDT - DK .DEN KIRDI. TAKP.. YTD. $SWRV $ONT $GHST $CAKE $ARPA,Neutral
: . Airdrop is live on LATOKEN!Earn a share of million $DFN crypto tokens by finishing easy and quick social,Neutral
: Former US Director of : running wild via,Neutral
"Take a look at the $XRC, RICH LIST on Explorer! OTC now happening on , xRHODIUM. Limited supply, only Million $XRC will ever be made. Uniswap coming soon., , ,",Neutral
: An alternate way to look at price over time.,Neutral
Super Saturday Update Oregon State +7Who else loves starting the day in the win column ? LETS GO!!!!!!!!!! Why would you pay for picks ? Hahah $doge $amc $gme,Neutral
: $ARDR is a multichain platform with a parent-child chain architecture. The security of the whole is prov,Neutral
: Climate change is happening now. We can not standby and let this planet die. Join us in making a difference. Register o,Neutral
: What year do you think hits a million dollars?,Bullish
"Sorry for bothering you. But I actually have a business proposal thatll be beneficial to both ends I mean real entrepreneurial investment,if youre interested kindly Dm for more info",Neutral
"MyIdentityCoin project supported by experienced and highly qualified team, which in my opinion is able to bring the project to the highest level in the shortest possible time and I hope they succeed.",Neutral
Bought another and finally staked my,Bullish
of the day:Elon Musk declares Tesla can now be bought with exchange launches airdrop with million $REAP tokens in rewardsEarn now:,Neutral
: will not stay below k forever.,Neutral
I just joined this $25k Crypto giveaway by and daily entries to increase your chances of winning! random winners of $1k each! $BTC $ETH $SRK,Neutral
: Airdrop is LIVEParticipate in and receieve $300 worth of SG Token for joining and $3 per friend you,Neutral
: A spike to $55k would be a great first sign of reversalBulls would need to turn the igniters on in ....2...,Bullish
": Cardano is the greatest risk/reward play, and even with that, will likely outperform most altcoins (in my opinion)For",Bearish
: Ready to go down the rabbit hole on ?Originally a personal notepad for friends &amp; family by our very own,Bullish
: Why NFTs are more than just digital art,Bullish
"is booming Will it last, or will it bust? via available interest free installments",Bearish
": is booming Will it last, or will it bust? via",Bearish
: GameStop &amp; Bitcoin both show: . Retail Traders deserve a voice2. Decentralize the market3. The world needs,Bullish
: forming a descending broadening wedge!,Bearish
: There is NOTHING as exciting as seeing your up % in one day. ... Unless you have,Bullish
": 'ers are ""closed minded"".their closed mind is how they came to make the leap, buy and hodl BTC with conviction thru b",Bullish
"Sorry for bothering you. But I actually have a business proposal thatll be beneficial to both ends I mean real entrepreneurial investment,if youre interested kindly Dm for more info",Neutral
Quantum Computing will destroy bitcoin,Bearish
Bitcoin Sucks!!!,Bearish
Bitcoin is crashing,Bearish
Crashing Bitcoin SELL SELL SELL SELL,Bearish
SELL THIS CURRENCY NOW,Bearish
crypto is a scam be careful,Bearish
be careful watch out this is not good,Bearish
no!,Bearish
Sell bitcoin it is not good,Bearish
Bitcoin is not scalable watch out,Bearish
bitcoin needs to go,Bearish
bitcoin is a scam,Bearish
the government is banning crypto,Bearish
crypto is going to be banned,Bearish
crypto needs to be regulated,Bearish
"I wouldn't advocate for a ban, but I also wouldn't be so sanguine about the possibility",Bearish
terrorism and crypto will be an outcome,Bearish
small groups forming without poor intentions gaining power,Bearish
bitcoin will be a time of wealth transfer and a new order,Bullish
bitcoin is a new order!!,Bullish
bitcoin will be a peoples currency,Bullish
bitcoin is a peoples currency,Bullish
BUY BUY BUY BITCOIN BUY,Bullish
SELL SELL SELL SELL NOW NOW NOW,Bearish
be careful watch out this is not good,Bearish
BE CAREFUL,Bearish
Bearish market is forming ,Bearish
bitcoin will not scale over the next couple years,Bearish
bitcoin is forming a downwards triangle,Bearish
bitcoin will fail no doubt,Bearish
everyone sell it is not scalable I hate this!,Bearish
im so sad about this,Bearish
I thought it would do well nooooo!,Bearish
bitcoin is not physical be careful!!,Bearish
hackers can hack your money with no reprecusion,Bearish
"you can lose your money, you are not safe!",Bearish
people will hack you!,Bearish
watch out! Criminals will prosper,Bearish
this will change everything,Bullish
no way this is working,Bearish
bitcoin sucks,Bearish
cryptocurrencies are scams,Bearish
crypto sucks,Bearish
crypto needs to go,Bearish
gold is much better,Bearish
gold is a better store of value,Bearish
crypto is NOT GOOD!,Bearish
sell crypto now!,Bearish
TA telling us bitcoin will crash very soon,Bearish
bitcoin will lose value soon and over the years,Bearish
I am bullish on bitcoin it is a great investment,Bullish
I love bitcoin!,Bullish
Bitcoin is great and will bring power back to the people,Bullish
Bitcoin will make many people rich and will redistribute wealth to 3rd world countries,Bullish
Indicating that bitcoin will go up!,Bullish
A bullish market is forming ,Bullish
THIS IS THE WAY,Bullish
bitcoin is the way,Bullish
"we are in the starting phase of technology, we have yet to see everything technology is do",Bullish
the digital future has started,Bullish
What a great stock,Bullish
Im in love with my investment I have never done anything better,Bullish
Bitcoin is a hedge for fiat currencies,Bullish
